                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.50008,                0.45496,                 1.0746,                0.55627,                0.48421,                 1.0953,                0.94267,                 0.9431,                0.98946,                0.89853,                0.46089,                0.30339,                 1.0567,                 0.4914,                 0.3792,                 1.1087,             0.00090785,             0.00090785,             0.00090785
                     49,                0.46622,                0.41899,                 1.0443,                0.52537,                0.48096,                 1.0649,                0.99663,                0.99432,                  0.995,                0.92302,                0.39449,                0.29531,                 1.0089,                0.43325,                0.27972,                 1.0616,             0.00089134,             0.00089134,             0.00089134
                     50,                0.46451,                 0.4382,                   1.05,                0.53234,                0.48767,                 1.0713,                 0.9535,                0.97125,                0.98984,                0.92814,                 0.3711,                0.30533,                0.99144,                0.39777,                0.35656,                   1.01,             0.00087484,             0.00087484,             0.00087484
                     51,                0.44726,                0.40915,                 1.0242,                 0.5096,                0.45056,                 1.0464,                0.93058,                      1,                0.99333,                0.93684,                0.38825,                0.29284,                0.98447,                0.41574,                0.31127,                  1.018,             0.00085834,             0.00085834,             0.00085834
                     52,                0.48702,                0.41922,                 1.0614,                0.54266,                0.47951,                 1.0793,                0.96901,                0.93421,                0.98671,                0.90357,                0.45038,                0.32589,                 1.0618,                0.46297,                0.34324,                  1.096,             0.00084184,             0.00084184,             0.00084184
                     53,                0.48541,                0.40805,                 1.0511,                0.55464,                 0.4487,                 1.0709,                0.97011,                0.83152,                0.96703,                0.87645,                0.41918,                0.29774,                 1.0296,                0.48871,                0.38346,                 1.1041,             0.00082533,             0.00082533,             0.00082533
                     54,                  0.463,                0.37899,                 1.0374,                0.51943,                0.40495,                 1.0606,                0.97414,                 0.9375,                 0.9805,                0.88359,                0.39428,                0.30111,                0.98154,                0.43486,                0.35642,                 1.0171,             0.00080883,             0.00080883,             0.00080883
                     55,                0.45378,                0.37147,                  1.035,                0.51617,                0.39943,                 1.0553,                0.97963,                0.93353,                0.98673,                0.90292,                0.40202,                0.30084,                 1.0065,                0.42623,                0.31462,                 1.0123,             0.00079233,             0.00079233,             0.00079233
                     56,                0.44526,                0.38411,                 1.0235,                0.49792,                0.41159,                 1.0431,                0.99706,                0.92349,                0.98943,                0.89845,                0.47078,                0.35115,                 1.1013,                0.53338,                0.33046,                 1.1676,             0.00077582,             0.00077582,             0.00077582
                     57,                0.47696,                0.39426,                  1.027,                0.53467,                0.41952,                 1.0442,                0.95188,                 0.9375,                0.98233,                0.89061,                0.46621,                0.35546,                 1.0546,                0.47404,                0.32757,                 1.0974,             0.00075932,             0.00075932,             0.00075932
                     58,                0.47318,                0.39952,                 1.0379,                0.54349,                0.42111,                 1.0669,                0.96014,                      1,                0.99147,                0.90435,                0.42426,                0.32761,                 1.0165,                0.47525,                0.25381,                 1.0816,             0.00074282,             0.00074282,             0.00074282
                     59,                0.44813,                 0.3854,                 1.0313,                0.50473,                0.41272,                 1.0497,                0.98942,                      1,                  0.995,                0.92255,                0.41932,                0.30191,                0.99831,                0.41095,                  0.234,                 1.0373,             0.00072631,             0.00072631,             0.00072631
                     60,                0.43816,                0.37273,                 1.0186,                0.48764,                0.40194,                 1.0322,                0.99552,                0.97547,                0.99417,                0.92326,                0.40255,                0.29502,                 1.0108,                0.44042,                0.25805,                 1.0672,             0.00070981,             0.00070981,             0.00070981
                     61,                   0.44,                0.36961,                 1.0299,                 0.4992,                0.37862,                 1.0445,                0.99731,                0.96439,                0.99417,                0.92801,                0.37415,                0.29216,                0.97178,                0.41724,                0.24645,                 1.0162,             0.00069331,             0.00069331,             0.00069331
                     62,                0.41942,                0.34174,                 1.0179,                0.46714,                0.35205,                 1.0378,                 0.9454,                0.96572,                0.98832,                0.93412,                0.35562,                 0.2666,                0.96626,                0.37261,                0.31219,                0.99571,              0.0006768,              0.0006768,              0.0006768
                     63,                0.41921,                0.36662,                0.99562,                0.46646,                0.36847,                  1.015,                 0.9479,                 0.9592,                0.98706,                0.93245,                0.36615,                0.27143,                0.99244,                 0.3721,                0.31514,                0.99902,              0.0006603,              0.0006603,              0.0006603
                     64,                0.43155,                0.36701,                 1.0179,                0.47191,                 0.3639,                 1.0285,                  0.996,                0.99202,                  0.995,                0.92533,                0.39401,                0.27789,                0.99509,                0.41038,                0.23181,                 1.0238,              0.0006438,              0.0006438,              0.0006438
                     65,                0.43783,                0.36411,                 1.0169,                0.47852,                0.38282,                 1.0347,                0.98412,                0.99801,                  0.995,                0.93256,                0.37041,                0.26924,                0.95275,                0.36718,                0.20187,                0.97314,             0.00062729,             0.00062729,             0.00062729
                     66,                0.44592,                0.34189,                 1.0344,                0.49966,                0.34961,                 1.0483,                0.99478,                0.96875,                0.99324,                0.93382,                0.38653,                0.25787,                0.99897,                0.38027,                0.21216,                 1.0115,             0.00061079,             0.00061079,             0.00061079
                     67,                0.41753,                0.33861,                 1.0083,                0.46321,                0.34858,                 1.0253,                0.99609,                0.99684,                  0.995,                0.93387,                 0.3626,                0.27258,                 0.9722,                0.37448,                0.21378,                 1.0137,             0.00059429,             0.00059429,             0.00059429
                     68,                0.41921,                0.33605,                 1.0107,                0.47873,                0.34021,                 1.0282,                0.95955,                0.95489,                0.99083,                0.92768,                0.37945,                0.26344,                0.96992,                0.39424,                0.27102,                 1.0137,             0.00057778,             0.00057778,             0.00057778
                     69,                0.42827,                0.33816,                  1.014,                0.46717,                0.34715,                 1.0293,                0.98674,                0.99785,                  0.995,                0.93052,                0.37376,                0.26076,                0.96608,                 0.3962,                0.22472,                0.99929,             0.00056128,             0.00056128,             0.00056128
                     70,                0.40548,                0.33115,                 1.0082,                0.46148,                0.33241,                 1.0261,                0.97886,                      1,                  0.995,                0.91998,                0.38089,                0.25594,                0.98319,                0.40469,                0.26458,                 1.0008,             0.00054478,             0.00054478,             0.00054478
                     71,                0.40553,                 0.3344,                 1.0176,                0.44676,                0.34504,                 1.0341,                 0.9506,                0.98971,                0.99147,                0.92208,                0.35904,                0.24663,                0.95425,                0.38611,                0.22738,                0.98011,             0.00052827,             0.00052827,             0.00052827
                     72,                0.40808,                0.33469,                 1.0061,                0.46226,                0.34715,                 1.0273,                0.96591,                0.99646,                0.99417,                0.92941,                0.34568,                0.25623,                0.94759,                0.37511,                 0.2124,                0.97376,             0.00051177,             0.00051177,             0.00051177
                     73,                0.40956,                0.33826,                0.99882,                0.46093,                 0.3343,                 1.0177,                0.99396,                0.99622,                  0.995,                0.92813,                0.38314,                0.26309,                0.96757,                0.40256,                0.22754,                0.99478,             0.00049527,             0.00049527,             0.00049527
                     74,                0.40968,                 0.3292,                 1.0011,                0.45981,                0.34541,                 1.0236,                0.96902,                0.97735,                  0.995,                0.94335,                0.35408,                0.25234,                0.94458,                0.35772,                 0.2457,                0.94834,             0.00047876,             0.00047876,             0.00047876
                     75,                0.40778,                0.30897,                 0.9959,                0.43933,                0.31795,                 1.0081,                0.99286,                0.96781,                0.99143,                   0.93,                0.35281,                0.25029,                0.93982,                0.36869,                0.25579,                0.96308,             0.00046226,             0.00046226,             0.00046226
                     76,                0.39134,                0.31803,                 1.0007,                0.42791,                0.32283,                  1.014,                0.98544,                      1,                  0.995,                0.93524,                0.35832,                0.24541,                0.95937,                0.36496,                0.23137,                0.97483,             0.00044576,             0.00044576,             0.00044576
                     77,                0.39589,                0.31042,                0.99846,                0.43884,                0.31441,                 1.0113,                0.98956,                0.99744,                  0.995,                0.93128,                0.38893,                 0.2433,                0.98582,                 0.3994,                 0.2163,                 1.0053,             0.00042925,             0.00042925,             0.00042925
